10000;"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>";"<empty 'prompt'>"
10001;"U connect, ready";"Uconnect – Prêt.";"Uconnect - Listo";"U connect, bereit.";"U connect , Gereed.";"U connect, ready";"U connect, Prêt";"U connect, Preparado.";"U connect, pronto"
10002;"U connect phone, ready";"Téléphone UConnect - prêt";;;"UConnect Phone – gereed.";;;;
10003;"<ptag> is connected";"<ptag> est branché.";"<ptag> está conectado.";"<ptag> ist verbunden.";"<ptag> is aangesloten.";"<ptag> is connected";"<ptag> est connecté.";"<ptag> está conectado.";"<ptag> collegato."
10005;"Ready.";"Prêt.";"Listo.";"bereit";"Klaar";"Ready.";"Prêt.";"Listo.";"Pronto."
10006;"Available options are: call, dial, phonebook, redial, emergency, towing assistance, UConnect setup or tutorial.";"Les options disponibles sont – appeler, composer, répertoire, recomposer, urgence, services de remorquage, configuration Uconnect ou tutoriel.";"Las opciones disponibles son: llamar, marcar, directorio telefónico, volver a marcar, emergencia, asistencia de grúa, Configurar Uconnect o tutorial.";"Mögliche Befehle sind: wählen, Telefonbuch, Wahlwiederholung, Notruf, Abschleppdienst, Ju connect Einstellungen oder Einführung.";"De beschikbare opties zijn - bel, kies, telefoonboek, nummerherhaling, alarmnummer, sleepdienst, instellingen of instructieprogramma.";"Available options are: call, dial, phonebook, redial, emergency, breakdown service, UConnect setup or tutorial.";"Les options disponibles sont – appeler, composer, annuaire, recomposer, urgence, service de dépannage,  configuration Uconnect ou tutoriel.";"Las opciones disponibles son: llamar, marcar, agenda, remarcado, emergencia, asistencia de remolque, configuración de Uconnect o tutorial.";"Sono disponibili le seguenti opzioni: chiamata, composizione numero, rubrica, ricomposizione numero, emergenza, servicio di soccorso stradale, impostazioni Uconnect o corso,"
10007;"Available options are: call, dial, phonebook, redial or setup.";"Les options disponibles sont – appeler, composer, répertoire, recomposer ou configuration.";"Las opciones disponibles son: llamar, marcar, directorio telefónico, volver a marcar o Configuración.";"<not existing, Interface+ only>";"<not existing, Interface+ only>";"<not existing, Interface+ only>";"<not existing, Interface+ only>";"<not existing, Interface+ only>";"<not existing, Interface+ only>"
10011;"Available options are: call, dial, previous, next or repeat ";"Les options disponibles sont: appeler, composer, précédent, suivant ou répéter. ";"Las opciones disponibles son:  llamar, marcar, anterior, siguiente o repetir";"Verfügbare Optionen sind:  „Anrufen“, „Wahlwiederholung“, „Zurück“, „Weiter“ oder „Wiederholen“.";"De beschikbare opties zijn:  bel, kies, vorige, volgende of herhaal";"Available options are: call, dial, previous, next or repea";"Les options disponibles sont: appeler, numéroter, précédent, suivant ou répéter. ";"Las opciones disponibles son:  llamar, marcar, anterior, siguiente o repetir";"Le opzioni disponibili sono: chiama, componi, precedente, successivo o ripeti"
10012;"Available options are: call, dial, phonebook, redial, recent calls, emergency, towing assistance, UConnect setup or tutorial.";;;;;"Available options are: call, dial, phonebook, redial, recent calls, emergency, towing assistance, UConnect setup or tutorial.";;;
11001;"Please say the name or number.";"Veuillez dire le nom ou le numéro.";"Por favor diga el nombre o el número.";"Bitte nennen Sie den Namen oder die Nummer.";"Spreek naam of nummer in.";"Please say the name or number.";"Le nom s'il vous plaît ?";"Diga el nombre o el número.";"Dire il nome o il numero."
